canonical_url,locale,page_type,clicks,impressions,ctr_percent,average_position,source_url_count,source_urls
https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-a-zakazek/,cs,service,2,176,1.14,12.11,3,https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-a-zakazek | https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-nabidek-a-realizace | https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-nabidek-a-realizace/
https://www.halatao.cz/en/comparisons/nextjs-vs-spa-for-business-apps/,en,comparison,0,130,0.00,10.16,1,https://www.halatao.cz/en/comparisons/nextjs-vs-spa-for-business-apps
https://www.halatao.cz/en/guides/how-to-automate-request-processing/,en,guide,0,108,0.00,28.85,2,https://www.halatao.cz/en/guides/how-to-automate-request-processing | https://www.halatao.cz/en/guides/how-to-automate-request-processing/
https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/,en,use_case,0,103,0.00,19.17,2,https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company | https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/
https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel/,en,guide,0,84,0.00,15.90,2,https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel | https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel/
https://www.halatao.cz/cs/priklady/system-pro-poptavky-nabidky-a-realizaci/,cs,use_case,0,60,0.00,7.75,2,https://www.halatao.cz/cs/priklady/system-pro-poptavky-nabidky-a-realizaci | https://www.halatao.cz/cs/priklady/workflow-poptavka-nabidka-realizace/
https://www.halatao.cz/cs/,cs,home,10,58,17.24,3.60,3,https://www.halatao.cz/ | https://www.halatao.cz/cs | https://www.halatao.cz/cs/
https://www.halatao.cz/cs/pruvodce/jak-automatizovat-zpracovani-poptavek/,cs,guide,0,57,0.00,5.24,2,https://www.halatao.cz/cs/pruvodce/jak-automatizovat-zpracovani-poptavek | https://www.halatao.cz/cs/pruvodce/jak-automatizovat-zpracovani-poptavek/
https://www.halatao.cz/cs/sluzby/ai-automatizace-a-integrace/,cs,service,0,42,0.00,20.14,2,https://www.halatao.cz/cs/sluzby/ai-automatizace-a-integrace | https://www.halatao.cz/cs/sluzby/ai-automatizace-a-integrace/
https://www.halatao.cz/cs/priklady/workflow-automatizace/,cs,use_case,1,35,2.86,23.11,1,https://www.halatao.cz/cs/priklady/workflow-automatizace
