source_url,normalized_url,last_crawled,exported_state,current_registry_route,current_indexable
https://www.halatao.cz/cs/sluzby/ai-automatizace-a-integrace/,https://www.halatao.cz/cs/sluzby/ai-automatizace-a-integrace/,2026-06-29,Valid,true,true
https://www.halatao.cz/cs/problemy/poptavky-nabidky-a-realizace-v-tabulkach-a-emailu/,https://www.halatao.cz/cs/problemy/poptavky-nabidky-a-realizace-v-excelu-a-emailu/,2026-06-29,Valid,true,true
https://www.halatao.cz/cs/pruvodce/kdy-dava-smysl-vyvoj-na-miru/,https://www.halatao.cz/cs/pruvodce/kdy-dava-smysl-vyvoj-na-miru/,2026-06-29,Valid,true,true
https://www.halatao.cz/en/guides/how-to-automate-request-processing/,https://www.halatao.cz/en/guides/how-to-automate-request-processing/,2026-06-28,Valid,true,true
https://www.halatao.cz/cs/pruvodce/jak-nacenit-webovou-aplikaci/,https://www.halatao.cz/cs/pruvodce/jak-nacenit-webovou-aplikaci/,2026-06-26,Valid,true,true
https://www.halatao.cz/cs/pripadovky/integrace-nekolika-systemu/,https://www.halatao.cz/cs/pripadovky/integrace-nekolika-systemu/,2026-06-25,Valid,true,true
https://www.halatao.cz/en/,https://www.halatao.cz/en/,2026-06-24,Valid,true,true
https://www.halatao.cz/en/guides/how-to-find-manual-data-reentry/,https://www.halatao.cz/en/guides/how-to-find-manual-data-reentry/,2026-06-22,Valid,true,true
https://www.halatao.cz/cs,https://www.halatao.cz/cs/,2026-06-22,Valid,true,true
https://www.halatao.cz/cs/pruvodce/jak-prevzit-existujici-aplikaci-bez-rizika,https://www.halatao.cz/cs/pruvodce/jak-prevzit-existujici-aplikaci-bez-rizika/,2026-06-20,Valid,true,true
https://www.halatao.cz/cs/priklady/workflow-automatizace,https://www.halatao.cz/cs/priklady/workflow-automatizace/,2026-06-19,Valid,true,true
https://www.halatao.cz/,https://www.halatao.cz/cs/,2026-06-19,Valid,true,true
https://www.halatao.cz/cs/pruvodce/dashboard-pro-management-z-vice-systemu,https://www.halatao.cz/cs/pruvodce/dashboard-pro-management-z-vice-systemu/,2026-06-19,Valid,true,true
https://www.halatao.cz/cs/srovnani/vyvoj-na-miru-vs-saas,https://www.halatao.cz/cs/srovnani/vyvoj-na-miru-vs-saas/,2026-06-18,Valid,true,true
https://www.halatao.cz/cs/problemy,https://www.halatao.cz/cs/problemy/,2026-06-18,Valid,true,true
https://www.halatao.cz/cs/sluzby/interni-systemy-na-miru,https://www.halatao.cz/cs/sluzby/interni-systemy-na-miru/,2026-06-17,Valid,true,true
